,id_street,id_point,metre,address,number,original_n,initial_date,final_date,source,author,date,cord,first_day,first_month,first_year,last_day,last_month,last_year,reason
329,113,113-36,35.7,rua são miguel,4.0,4,06/03/1922,25/10/1937,"Livro de Emplacamento, n.24, p.49; n.9, p.38",Cintia,10/10/2018,-46.6546653678252 -23.5549044983371,6.0,3.0,1922.0,25.0,10.0,1937.0,Initial year is greater than final year.
331,113,113-110,110.7,rua são miguel,16.0,16,06/03/1922,25/10/1937,"Livro de Emplacamento, n.24, p.49; n.9, p.38",Cintia,10/10/2018,-46.6543228826541 -23.5554994149414,6.0,3.0,1922.0,25.0,10.0,1937.0,Initial year is greater than final year.
334,117,117-19,19.2,rua aureliano coutinho,1.0,1,17/09/1928,29/06/1936,"Livro de Emplacamento, n.21, p.177; n.13, n.13, p.29",Cintia,10/10/2018,-46.6526899382574 -23.5402155841471,17.0,9.0,1928.0,29.0,6.0,1936.0,Initial year is greater than final year.
336,117,117-109,108.3,rua aureliano coutinho,23.0,23,17/09/1928,29/06/1936,"Livro de Emplacamento, n.21, p.177; n.13, n.13, p.29",Cintia,10/10/2018,-46.6529295725075 -23.5409829243841,17.0,9.0,1928.0,29.0,6.0,1936.0,Initial year is greater than final year.
339,117,117-245,244.8,rua aureliano coutinho,41.0,41,17/09/1928,29/06/1936,"Livro de Emplacamento, n.21, p.177; n.13, n.13, p.29",Cintia,10/10/2018,-46.6531324199114 -23.5421845155409,17.0,9.0,1928.0,29.0,6.0,1936.0,Initial year is greater than final year.
342,117,117-52,52.2,rua aureliano coutinho,2.0,2,17/09/1928,29/06/1936,"Livro de Emplacamento, n.21, p.178; n.13, n.13, p.29",Cintia,10/10/2018,-46.6527786916834 -23.5404997842349,17.0,9.0,1928.0,29.0,6.0,1936.0,Initial year is greater than final year.
344,117,117-164,163.9,rua aureliano coutinho,20.0,20,17/09/1928,29/06/1936,"Livro de Emplacamento, n.21, p.178; n.13, n.13, p.29",Cintia,10/10/2018,-46.6530791085828 -23.5414617584713,17.0,9.0,1928.0,29.0,6.0,1936.0,Initial year is greater than final year.
347,117,117-456,456.8,rua aureliano coutinho,38.0,38,17/09/1928,29/06/1936,"Livro de Emplacamento, n.21, p.178; n.13, n.13, p.29",Cintia,10/10/2018,-46.6534059385438 -23.5440578153341,17.0,9.0,1928.0,29.0,6.0,1936.0,Initial year is greater than final year.
349,118,118-15,15.7,rua alagoas,1.0,1,30/06/1927,12/11/1936,"Livro de Emplacamento, n.20, p.182; n.11, p.7; n.1, p.32",Cintia,10/10/2018,-46.6546403697044 -23.5479349421567,30.0,6.0,1927.0,12.0,11.0,1936.0,Initial year is greater than final year.
351,118,118-12,11.5,rua alagoas,2.0,2,30/06/1927,12/11/1936,"Livro de Emplacamento, n.20, p.183; n.11, p.7; n.1, p.32",Cintia,10/10/2018,-46.6546030344755 -23.5479506996777,30.0,6.0,1927.0,12.0,11.0,1936.0,Initial year is greater than final year.
353,136,136-245,246.6,rua santa rosa,1.0,1,15/01/1909,27/05/1936,"Livro de Emplacamento, n.21, p.150; n.8, p.139",Cintia,10/10/2018,-46.6267541101873 -23.5426889230734,15.0,1.0,1909.0,27.0,5.0,1936.0,Initial year is greater than final year.
355,136,136-365,365.0,rua santa rosa,35.0,35,15/01/1909,27/05/1936,"Livro de Emplacamento, n.21, p.150; n.8, p.139",Cintia,10/10/2018,-46.6267929845482 -23.5416255895694,15.0,1.0,1909.0,27.0,5.0,1936.0,Initial year is greater than final year.
357,136,136-495,494.9,rua santa rosa,77.0,77,15/01/1909,27/05/1936,"Livro de Emplacamento, n.21, p.150; n.8, p.139",Cintia,10/10/2018,-46.6268369692664 -23.5404590946002,15.0,1.0,1909.0,27.0,5.0,1936.0,Initial year is greater than final year.
361,136,136-258,257.7,rua santa rosa,48.0,48,15/01/1909,27/05/1936,"Livro de Emplacamento, n.21, p.151; n.8, p.139",Cintia,10/10/2018,-46.6267579984247 -23.5425892441688,15.0,1.0,1909.0,27.0,5.0,1936.0,Initial year is greater than final year.
364,136,136-518,517.0,rua santa rosa,110.0,110,15/01/1909,27/05/1936,"Livro de Emplacamento, n.21, p.151; n.8, p.139",Cintia,10/10/2018,-46.6268487080209 -23.5402608310778,15.0,1.0,1909.0,27.0,5.0,1936.0,Initial year is greater than final year.
369,142,142-262,262.8,rua wandenkoik,79.0,79,22/09/1921,30/07/1942,"Livro de Emplacamento, n.29, p.385; n.10, p.58; n.10, p.63; n.10, p.60; n.10, p.59",Cintia,11/10/2018,-46.6234512619576 -23.5519735962744,22.0,9.0,1921.0,30.0,7.0,1942.0,Initial year is greater than final year.
374,142,142-145,141.1,rua wandenkoik,92.0,92,03/04/1926,30/07/1942,"Livro de Emplacamento, n.29, p.387; n.10, p.58; n.10, p.63; n.10, p.60; n.10, p.59",Cintia,11/10/2018,-46.6232336413483 -23.5509006017753,3.0,4.0,1926.0,30.0,7.0,1942.0,Initial year is greater than final year.
376,142,142-395,394.9,rua wandenkoik,44.0,44,03/04/1926,30/07/1942,"Livro de Emplacamento, n.29, p.387; n.10, p.58; n.10, p.63; n.10, p.60; n.10, p.59",Cintia,11/10/2018,-46.6236869612577 -23.5531383879527,3.0,4.0,1926.0,30.0,7.0,1942.0,Initial year is greater than final year.
377,142,142-395,394.9,rua wandenkoik,24.0,24,10/08/1907,03/03/1926,"Livro de Emplacamento, n.29, p.387; n.10, p.58; n.10, p.63; n.10, p.60; n.10, p.59",Cintia,11/10/2018,-46.6236869612577 -23.5531383879527,10.0,8.0,1907.0,3.0,3.0,1926.0,Initial year is greater than final year.
386,145,145-51,51.3,rua piraitininga,1.0,1,25/04/1908,28/04/1936,"Livro de Emplacamento, n.89; n.14, p.54; n.7, p.143; n.7, p.115; n.7, p.93; n.7, p.92",Cintia,11/10/2018,-46.6205028551868 -23.5458800175108,25.0,4.0,1908.0,28.0,4.0,1936.0,Initial year is greater than final year.
388,145,145-581,581.0,rua piraitininga,103.0,103,08/11/1928,28/04/1936,"Livro de Emplacamento, n.90; n.14, p.54; n.7, p.143; n.7, p.115; n.7, p.93; n.7, p.9",Cintia,11/10/2018,-46.6176774031674 -23.5498622882399,8.0,11.0,1928.0,28.0,4.0,1936.0,Initial year is greater than final year.
389,145,145-581,581.0,rua piraitininga,105.0,105,25/04/1908,08/10/1928,"Livro de Emplacamento, n.90; n.14, p.54; n.7, p.143; n.7, p.115; n.7, p.93; n.7, p.9",Cintia,11/10/2018,-46.6176774031674 -23.5498622882399,25.0,4.0,1908.0,8.0,10.0,1928.0,Initial year is greater than final year.
392,145,145-20,20.1,rua piraitininga,2.0,2,25/04/1908,28/04/1936,"Livro de Emplacamento, n.92; n.14, p.54; n.7, p.143; n.7, p.115; n.7, p.93; n.7, p.92",Cintia,11/10/2018,-46.6206714554132 -23.545647015519,25.0,4.0,1908.0,28.0,4.0,1936.0,Initial year is greater than final year.
394,145,145-582,582.6,rua piraitininga,124.0,124,08/11/1928,28/04/1936,"Livro de Emplacamento, n.93; n.14, p.54; n.7, p.143; n.7, p.115; n.7, p.93; n.7, p.92",Cintia,11/10/2018,-46.6176688962105 -23.5498743365675,8.0,11.0,1928.0,28.0,4.0,1936.0,Initial year is greater than final year.
397,145,145-1078,1078.7,rua piraitininga,248.0,248,08/11/1928,28/04/1936,"Livro de Emplacamento, n.94; n.14, p.54; n.7, p.143; n.7, p.115; n.7, p.93; n.7, p.92",Cintia,11/10/2018,-46.6150369695071 -23.5536141316354,8.0,11.0,1928.0,28.0,4.0,1936.0,Initial year is greater than final year.
398,145,145-1078,1078.7,rua piraitininga,234.0,234,18/12/1913,08/10/1928,"Livro de Emplacamento, n.94; n.14, p.54; n.7, p.143; n.7, p.115; n.7, p.93; n.7, p.92",Cintia,11/10/2018,-46.6150369695071 -23.5536141316354,18.0,12.0,1913.0,8.0,10.0,1928.0,Initial year is greater than final year.
400,147,147-16,16.1,rua paulo affonso,2.0,2,04/01/1909,06/12/1939,"Livro de Emplacamento, n.25, p.291; n.15, p.176; n.16, p.172; n.7, p.104",Cintia,11/10/2018,-46.6153163813732 -23.5444539041485,4.0,1.0,1909.0,6.0,12.0,1939.0,Initial year is greater than final year.
402,147,147-68,68.0,rua paulo affonso,10.0,10,23/08/1929,06/12/1939,"Livro de Emplacamento, n.25, p.291; n.15, p.176; n.16, p.172; n.7, p.104",Cintia,11/10/2018,-46.61490129528 -23.5441852795676,23.0,8.0,1929.0,6.0,12.0,1939.0,Initial year is greater than final year.
403,147,147-68,68.0,rua paulo affonso,6.0,6,04/01/1909,22/08/1929,"Livro de Emplacamento, n.25, p.291; n.15, p.176; n.16, p.172; n.7, p.104",Cintia,11/10/2018,-46.61490129528 -23.5441852795676,4.0,1.0,1909.0,22.0,8.0,1929.0,Initial year is greater than final year.
405,147,147-45,44.6,rua paulo affonso,1.0,1,04/01/1909,06/12/1939,"Livro de Emplacamento, n.25, p.292; n.15, p.176; n.16, p.172; n.7, p.104",Cintia,11/10/2018,-46.6150884439232 -23.5443063935405,4.0,1.0,1909.0,6.0,12.0,1939.0,Initial year is greater than final year.
407,147,147-65,63.5,rua paulo affonso,11.0,11,04/01/1909,06/12/1939,"Livro de Emplacamento, n.25, p.292; n.15, p.176; n.16, p.172; n.7, p.104",Cintia,11/10/2018,-46.6149372854037 -23.5442085707162,4.0,1.0,1909.0,6.0,12.0,1939.0,Initial year is greater than final year.
409,177,177-118,118.0,rua barra funda,4.0,4,08/06/1929,20/01/1936,"Livro de Emplacamento, n.20, p.316; n.15, p.190; n.2, p.43; n.2, p.18; n., p.1",Cintia,11/10/2018,-46.6532232203225 -23.5326113838173,8.0,6.0,1929.0,20.0,1.0,1936.0,Initial year is greater than final year.
410,177,177-118,118.0,rua barra funda,8.0,8,26/11/1911,08/05/1929,"Livro de Emplacamento, n.20, p.316; n.15, p.190; n.2, p.43; n.2, p.18; n., p.1",Cintia,11/10/2018,-46.6532232203225 -23.5326113838173,26.0,11.0,1911.0,8.0,5.0,1929.0,Initial year is greater than final year.
412,177,177-460,461.0,rua barra funda,88.0,88,08/06/1929,20/01/1936,"Livro de Emplacamento, n.20, p.316; n.15, p.190; n.2, p.43; n.2, p.18; n., p.1",Cintia,11/10/2018,-46.6554270591745 -23.53029053529,8.0,6.0,1929.0,20.0,1.0,1936.0,Initial year is greater than final year.
413,177,177-460,461.0,rua barra funda,92.0,92,26/07/1911,08/05/1929,"Livro de Emplacamento, n.20, p.316; n.15, p.190; n.2, p.43; n.2, p.18; n., p.1",Cintia,11/10/2018,-46.6554270591745 -23.53029053529,26.0,7.0,1911.0,8.0,5.0,1929.0,Initial year is greater than final year.
415,177,177-67,66.3,rua barra funda,1.0,1,08/06/1929,20/01/1936,"Livro de Emplacamento, n.20, p.316; n.15, p.190; n.2, p.43; n.2, p.18; n., p.1",Cintia,11/10/2018,-46.6529129204958 -23.5329841926809,8.0,6.0,1929.0,20.0,1.0,1936.0,Initial year is greater than final year.
416,177,177-67,66.3,rua barra funda,9.0,9,04/03/1908,08/05/1929,"Livro de Emplacamento, n.20, p.318; n.15, p.190; n.2, p.43; n.2, p.18; n., p.1",Cintia,11/10/2018,-46.6529129204958 -23.5329841926809,4.0,3.0,1908.0,8.0,5.0,1929.0,Initial year is greater than final year.
418,177,177-257,257.0,rua barra funda,41.0,41,08/06/1929,20/01/1936,"Livro de Emplacamento, n.20, p.316; n.15, p.190; n.2, p.43; n.2, p.18; n., p.1",Cintia,11/10/2018,-46.654057559964 -23.5316091127322,8.0,6.0,1929.0,20.0,1.0,1936.0,Initial year is greater than final year.
419,177,177-257,257.0,rua barra funda,53.0,53,04/03/1908,08/05/1929,"Livro de Emplacamento, n.20, p.316; n.15, p.190; n.2, p.43; n.2, p.18; n., p.1",Cintia,11/10/2018,-46.654057559964 -23.5316091127322,4.0,3.0,1908.0,8.0,5.0,1929.0,Initial year is greater than final year.
422,177,177-501,502.0,rua barra funda,101.0,101,08/06/1929,20/01/1936,"Livro de Emplacamento, n.20, p.318; n.15, p.190; n.2, p.43; n.2, p.18; n., p.1",Cintia,11/10/2018,-46.6557279635141 -23.5300512526925,8.0,6.0,1929.0,20.0,1.0,1936.0,Initial year is greater than final year.
423,177,177-501,502.0,rua barra funda,105.0,105,04/03/1908,08/05/1929,"Livro de Emplacamento, n.20, p.318; n.15, p.190; n.2, p.43; n.2, p.18; n., p.1",Cintia,11/10/2018,-46.6557279635141 -23.5300512526925,4.0,3.0,1908.0,8.0,5.0,1929.0,Initial year is greater than final year.
426,183,183-19,18.5,alameda dino bueno,1.0,1,16/08/1930,25/09/1935,"Livro de Emplacamento, n.20, p.60; n.17,p.62",Cintia,11/10/2018,-46.6407245461802 -23.5351963092859,16.0,8.0,1930.0,25.0,9.0,1935.0,Initial year is greater than final year.
428,183,183-601,601.4,alameda dino bueno,41.0,41,16/08/1930,25/09/1935,"Livro de Emplacamento, n.20, p.60; n.17,p.62",Cintia,11/10/2018,-46.6439524422249 -23.5308848288911,16.0,8.0,1930.0,25.0,9.0,1935.0,Initial year is greater than final year.
431,183,183-899,898.6,alameda dino bueno,101.0,101,16/08/1930,25/09/1935,"Livro de Emplacamento, n.20, p.60; n.17,p.62",Cintia,11/10/2018,-46.6456121048788 -23.5286970046942,16.0,8.0,1930.0,25.0,9.0,1935.0,Initial year is greater than final year.
434,183,183-16,16.4,alameda dino bueno,2.0,2,16/08/1930,25/09/1935,"Livro de Emplacamento, n.20, p.61; n.17,p.63",Cintia,11/10/2018,-46.6407129814579 -23.5352118903021,16.0,8.0,1930.0,25.0,9.0,1935.0,Initial year is greater than final year.
436,183,183-350,350.6,alameda dino bueno,60.0,60,16/08/1930,25/09/1935,"Livro de Emplacamento, n.20, p.61; n.17,p.63",Cintia,11/10/2018,-46.6425617509731 -23.5327385274347,16.0,8.0,1930.0,25.0,9.0,1935.0,Initial year is greater than final year.
439,183,183-886,886.7,alameda dino bueno,148.0,148,16/08/1930,25/09/1935,"Livro de Emplacamento, n.20, p.62; n.17,p.63",Cintia,11/10/2018,-46.6455453394123 -23.5287843691879,16.0,8.0,1930.0,25.0,9.0,1935.0,Initial year is greater than final year.
442,184,184-15,14.5,rua visconde do rio branco,1.0,1,01/05/1909,09/04/1935,"Livro de Emplacamento, n.19, p.391; n.14, p.118; n.9, p.195",Cintia,11/10/2018,-46.6379373965108 -23.5422879713954,1.0,5.0,1909.0,9.0,4.0,1935.0,Initial year is greater than final year.
445,184,184-329,329.1,rua visconde do rio branco,47.0,47,20/04/1928,09/04/1935,"Livro de Emplacamento, n.19, p.391; n.14, p.118; n.9, p.195",Cintia,11/10/2018,-46.6396303645532 -23.5399284903841,20.0,4.0,1928.0,9.0,4.0,1935.0,Initial year is greater than final year.
446,184,184-329,329.1,rua visconde do rio branco,39.0,39,01/05/1909,19/04/1928,"Livro de Emplacamento, n.19, p.391; n.14, p.118; n.9, p.195",Cintia,11/10/2018,-46.6396303645532 -23.5399284903841,1.0,5.0,1909.0,19.0,4.0,1928.0,Initial year is greater than final year.
449,184,184-781,781.3,rua visconde do rio branco,109.0,109,20/04/1928,09/04/1935,"Livro de Emplacamento, n.19, p.391; n.14, p.118; n.9, p.195",Cintia,11/10/2018,-46.6421272611723 -23.5365817437857,20.0,4.0,1928.0,9.0,4.0,1935.0,Initial year is greater than final year.
450,184,184-781,781.3,rua visconde do rio branco,97.0,97,01/05/1909,19/04/1928,"Livro de Emplacamento, n.19, p.391; n.14, p.118; n.9, p.195",Cintia,11/10/2018,-46.6421272611723 -23.5365817437857,1.0,5.0,1909.0,19.0,4.0,1928.0,Initial year is greater than final year.
453,184,184-20,19.9,rua visconde do rio branco,2.0,2,20/04/1928,09/04/1935,"Livro de Emplacamento, n.19, p.393; n.14, p.118; n.9, p.195",Cintia,11/10/2018,-46.637963436053 -23.5422454466134,20.0,4.0,1928.0,9.0,4.0,1935.0,Initial year is greater than final year.
454,184,184-20,19.9,rua visconde do rio branco,8.0,8,01/05/1909,19/04/1928,"Livro de Emplacamento, n.19, p.393; n.14, p.118; n.9, p.195",Cintia,11/10/2018,-46.637963436053 -23.5422454466134,1.0,5.0,1909.0,19.0,4.0,1928.0,Initial year is greater than final year.
456,184,184-326,325.3,rua visconde do rio branco,54.0,54,20/04/1928,09/04/1935,"Livro de Emplacamento, n.19, p.393; n.14, p.118; n.9, p.195",Cintia,11/10/2018,-46.6396091749679 -23.5399564594988,20.0,4.0,1928.0,9.0,4.0,1935.0,Initial year is greater than final year.
457,184,184-326,325.3,rua visconde do rio branco,48.0,48,01/05/1909,19/04/1928,"Livro de Emplacamento, n.19, p.393; n.14, p.118; n.9, p.195",Cintia,11/10/2018,-46.6396091749679 -23.5399564594988,1.0,5.0,1909.0,19.0,4.0,1928.0,Initial year is greater than final year.
460,184,184-774,774.1,rua visconde do rio branco,128.0,128,20/04/1928,09/04/1935,"Livro de Emplacamento, n.19, p.393; n.14, p.118; n.9, p.195",Cintia,11/10/2018,-46.6420873034056 -23.536634882001,20.0,4.0,1928.0,9.0,4.0,1935.0,Initial year is greater than final year.
461,184,184-774,774.1,rua visconde do rio branco,116.0,116,01/05/1909,19/04/1928,"Livro de Emplacamento, n.19, p.393; n.14, p.118; n.9, p.195",Cintia,11/10/2018,-46.6420873034056 -23.536634882001,1.0,5.0,1909.0,19.0,4.0,1928.0,Initial year is greater than final year.
472,185,185-9,9.0,rua cleveland,1.0,1,11/07/1908,10/11/1935,"Livro de Emplacamento, n.20, p.169;n.3, p.55; n.2, p.82",Cintia,11/10/2018,-46.6398421056656 -23.5347141060037,11.0,7.0,1908.0,10.0,11.0,1935.0,Initial year is greater than final year.
474,185,185-307,307.8,rua cleveland,43.0,43,11/07/1908,10/11/1935,"Livro de Emplacamento, n.20, p.169;n.3, p.55; n.2, p.82",Cintia,11/10/2018,-46.6414927649515 -23.5325010432869,11.0,7.0,1908.0,10.0,11.0,1935.0,Initial year is greater than final year.
477,185,185-737,736.5,rua cleveland,93.0,93,14/10/1916,10/11/1935,"Livro de Emplacamento, n.20, p.170;n.3, p.55; n.2, p.82",Cintia,11/10/2018,-46.643877631535 -23.5293383702213,14.0,10.0,1916.0,10.0,11.0,1935.0,Initial year is greater than final year.
478,185,185-737,736.5,rua cleveland,99.0,99,11/07/1908,13/10/1916,"Livro de Emplacamento, n.20, p.170;n.3, p.55; n.2, p.82",Cintia,11/10/2018,-46.643877631535 -23.5293383702213,11.0,7.0,1908.0,13.0,10.0,1916.0,Initial year is greater than final year.
481,185,185-412,412.2,rua cleveland,26.0,26,14/10/1916,10/11/1935,"Livro de Emplacamento, n.20, p.171;n.3, p.55; n.2, p.82",Cintia,11/10/2018,-46.6420690538514 -23.531727470191,14.0,10.0,1916.0,10.0,11.0,1935.0,Initial year is greater than final year.
482,185,185-412,412.2,rua cleveland,38.0,38,11/07/1908,13/10/1916,"Livro de Emplacamento, n.20, p.171;n.3, p.55; n.2, p.82",Cintia,11/10/2018,-46.6420690538514 -23.531727470191,11.0,7.0,1908.0,13.0,10.0,1916.0,Initial year is greater than final year.
485,185,185-546,546.8,rua cleveland,38.0,38,14/10/1916,10/11/1935,"Livro de Emplacamento, n.20, p.171;n.3, p.55; n.2, p.82",Cintia,11/10/2018,-46.642817247912 -23.530734031238,14.0,10.0,1916.0,10.0,11.0,1935.0,Initial year is greater than final year.
486,185,185-546,546.8,rua cleveland,60.0,60,11/07/1908,13/10/1916,"Livro de Emplacamento, n.20, p.171;n.3, p.55; n.2, p.82",Cintia,11/10/2018,-46.642817247912 -23.530734031238,11.0,7.0,1908.0,13.0,10.0,1916.0,Initial year is greater than final year.
489,185,185-762,762.3,rua cleveland,78.0,78,14/10/1916,10/11/1935,"Livro de Emplacamento, n.20, p.171;n.3, p.55; n.2, p.82",Cintia,11/10/2018,-46.6440218855431 -23.5291485827898,14.0,10.0,1916.0,10.0,11.0,1935.0,Initial year is greater than final year.
490,185,185-762,762.3,rua cleveland,106.0,106,11/07/1908,13/10/1916,"Livro de Emplacamento, n.20, p.171;n.3, p.55; n.2, p.82",Cintia,11/10/2018,-46.6440218855431 -23.5291485827898,11.0,7.0,1908.0,13.0,10.0,1916.0,Initial year is greater than final year.
493,186,186-23,22.4,alameda barão de piracicaba,1.0,1,16/05/1908,18/09/1935,"Livro de Emplacamento, n.20, p.37; n.17, p.73; n.2,p.19; n.1,p.99",Cintia,12/10/2018,-46.641566655521 -23.5357186617684,16.0,5.0,1908.0,18.0,9.0,1935.0,Initial year is greater than final year.
495,186,186-415,415.8,alameda barão de piracicaba,79.0,79,23/07/1930,18/09/1935,"Livro de Emplacamento, n.20, p.37; n.17, p.73; n.2,p.19; n.1,p.99",Cintia,12/10/2018,-46.6437475751108 -23.5328112496838,23.0,7.0,1930.0,18.0,9.0,1935.0,Initial year is greater than final year.
496,186,186-415,415.8,alameda barão de piracicaba,65.0,65,18/10/1911,22/07/1930,"Livro de Emplacamento, n.20, p.37; n.17, p.73; n.2,p.19; n.1,p.99",Cintia,12/10/2018,-46.6437475751108 -23.5328112496838,18.0,10.0,1911.0,22.0,7.0,1930.0,Initial year is greater than final year.
497,186,186-415,415.8,alameda barão de piracicaba,67.0,67,16/05/1908,17/10/1911,"Livro de Emplacamento, n.20, p.37; n.17, p.73; n.2,p.19; n.1,p.99",Cintia,12/10/2018,-46.6437475751108 -23.5328112496838,16.0,5.0,1908.0,17.0,10.0,1911.0,Initial year is greater than final year.
